,ISIC_12,co2_emissions,Ecoefici̻ncia
0,Financial,2543633.783279,26.88717633523928
1,OtherServices,12219965.462768001,116.96791056283732
2,Manufacturing,4513901032.582856,143.61040499784576
3,Business,111619449.842273,149.01730050947367
4,Trade,122964800.63403098,152.64292441604738
5,Mining,677879668.077481,153.38544174135723
6,Utilities,221038965.607422,161.44684010023366
7,Government,9279513.308221,200.63205936282372
8,Transport,24249345.109279,209.0192810961103
9,Agriculture,39937972.334546,255.38690189328744
10,Construction,199852840.378704,314.0180803032914
11,RealEstate,377335.768807,2366.88301937166
