,ISIC_12,quant_residuos_solidos,Ecoefici̻ncia
0,Financial,9962313816.43,118321.30262727648
1,Agriculture,1463286605.5300002,119453.28333333334
2,OtherServices,13264522.82,165287.2279513889
3,Utilities,10257834974.460003,177301.0152284264
4,Construction,1702848559.06,181320.76605452667
5,Manufacturing,26354725765.609993,195150.74066550523
6,Trade,867147862.9900001,197032.3196767001
7,Business,643839404.2900001,230350.98207853024
8,Mining,1269603793.27,240732.4681818182
9,Government,124490875.0,250971.159721757
10,Transport,265610467.01999998,256370.80154562328
11,RealEstate,77691.22,306320.7854705015
